product_id,product,current_retail_price,product_group,product_category,product_type
1,Brazilian - Organic,$18.00 ,Whole Bean/Teas,Coffee beans,Organic Beans
2,Our Old Time Diner Blend,$18.00 ,Whole Bean/Teas,Coffee beans,House blend Beans
3,Espresso Roast,$14.75 ,Whole Bean/Teas,Coffee beans,Espresso Beans
4,Primo Espresso Roast,$20.45 ,Whole Bean/Teas,Coffee beans,Espresso Beans
5,Columbian Medium Roast,$15.00 ,Whole Bean/Teas,Coffee beans,Gourmet Beans
6,Ethiopia,$21.00 ,Whole Bean/Teas,Coffee beans,Gourmet Beans
7,Jamacian Coffee River,$19.75 ,Whole Bean/Teas,Coffee beans,Premium Beans
8,Civet Cat,$45.00 ,Whole Bean/Teas,Coffee beans,Premium Beans
9,Organic Decaf Blend,$22.50 ,Whole Bean/Teas,Coffee beans,Organic Beans
10,Guatemalan Sustainably Grown,$10.00 ,Whole Bean/Teas,Coffee beans,Green beans
11,Lemon Grass,$8.95 ,Whole Bean/Teas,Loose Tea,Herbal tea
12,Peppermint,$8.95 ,Whole Bean/Teas,Loose Tea,Herbal tea
13,English Breakfast,$8.95 ,Whole Bean/Teas,Loose Tea,Black tea
14,Earl Grey,$8.95 ,Whole Bean/Teas,Loose Tea,Black tea
15,Serenity Green Tea,$9.25 ,Whole Bean/Teas,Loose Tea,Green tea
16,Traditional Blend Chai,$8.95 ,Whole Bean/Teas,Loose Tea,Chai tea
17,Morning Sunrise Chai,$9.50 ,Whole Bean/Teas,Loose Tea,Chai tea
18,Spicy Eye Opener Chai,$10.95 ,Whole Bean/Teas,Loose Tea,Chai tea
19,Dark chocolate,$6.40 ,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate
20,Sustainably Grown Organic,$7.60 ,Whole Bean/Teas,Packaged Chocolate,Organic Chocolate
21,Chili Mayan,$13.33 ,Whole Bean/Teas,Packaged Chocolate,Drinking Chocolate
22,Our Old Time Diner Blend Sm,$2.00 ,Beverages,Coffee,Drip coffee
23,Our Old Time Diner Blend Rg,$2.50 ,Beverages,Coffee,Drip coffee
24,Our Old Time Diner Blend Lg,$3.00 ,Beverages,Coffee,Drip coffee
25,Brazilian Sm,$2.20 ,Beverages,Coffee,Organic brewed coffee
26,Brazilian Rg,$3.00 ,Beverages,Coffee,Organic brewed coffee
27,Brazilian Lg,$3.50 ,Beverages,Coffee,Organic brewed coffee
28,Columbian Medium Roast Sm,$2.00 ,Beverages,Coffee,Gourmet brewed coffee
29,Columbian Medium Roast Rg,$2.50 ,Beverages,Coffee,Gourmet brewed coffee
30,Columbian Medium Roast Lg,$3.00 ,Beverages,Coffee,Gourmet brewed coffee
31,Ethiopia Sm,$2.20 ,Beverages,Coffee,Gourmet brewed coffee
32,Ethiopia Rg,$3.00 ,Beverages,Coffee,Gourmet brewed coffee
33,Ethiopia Lg,$3.50 ,Beverages,Coffee,Gourmet brewed coffee
34,Jamaican Coffee River Sm,$2.45 ,Beverages,Coffee,Premium brewed coffee
35,Jamaican Coffee River Rg,$3.10 ,Beverages,Coffee,Premium brewed coffee
36,Jamaican Coffee River Lg,$3.75 ,Beverages,Coffee,Premium brewed coffee
37,Espresso shot,$3.00 ,Beverages,Coffee,Barista Espresso
38,Latte,$3.75 ,Beverages,Coffee,Barista Espresso
39,Latte Rg,$4.25 ,Beverages,Coffee,Barista Espresso
40,Cappuccino,$3.75 ,Beverages,Coffee,Barista Espresso
41,Cappuccino Lg,$4.25 ,Beverages,Coffee,Barista Espresso
42,Lemon Grass Rg,$2.50 ,Beverages,Tea,Brewed herbal tea
43,Lemon Grass Lg,$3.00 ,Beverages,Tea,Brewed herbal tea
44,Peppermint Rg,$2.50 ,Beverages,Tea,Brewed herbal tea
45,Peppermint Lg,$3.00 ,Beverages,Tea,Brewed herbal tea
46,Serenity Green Tea Rg,$2.50 ,Beverages,Tea,Brewed Green tea
